latitude,longitude,elevation,slope,aspect,curvature,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days,landslide
28.8378,81.708,1395.0,89.99727631,315.0,5184000000.0,185.3,152.8,109.8,26.3,18.0,0.418125,0.05,2,10,1
26.8826,88.2788,1545.0,89.99828339,266.9059448,-1296000000.0,206.8,154.9,66.2,25.7,18.8,0.413208333,4.34,3,10,1
26.8572,88.3143,1079.0,89.99815369,19.48612976,-3888000000.0,75.3,55.2,19.6,27.3,20.4,0.413483333,1.85,0,10,1
28.2039,83.9806,831.0,89.95973969,288.4349365,-1296000000.0,324.6,322.2,92.6,28.3,20.9,0.427083333,-21.79,6,9,1
27.9447,84.2279,559.0,89.99945068,258.4951782,16848000000.0,215.4,208.3,88.6,32.3,21.5,0.421575,-2.34,4,9,1
27.478,88.527,748.0,89.99890137,194.9950867,-41472000000.0,388.3,358.0,247.9,35.6,23.0,0.426441667,3.05,5,10,1
28.0,85.71,3107.0,,,,165.3,119.9,75.5,17.7,11.8,0.419866667,8.89,3,10,1
28.1046,83.8791,873.0,89.99845886,292.8336487,2592000000.0,484.3,442.5,56.2,28.7,19.7,0.426075,-37.92,5,10,1
25.3098633,94.48214677,1552.0,89.99907684,156.0375061,14256000000.0,138.2,109.2,31.8,26.0,18.0,0.456,-0.63,3,10,1
36.6567,74.8609,3168.0,89.99757385,252.2553253,1296000000.0,48.5,17.6,2.2,19.0,-2.4,0.292166667,0.36,0,4,1
29.7334,79.6367,1579.0,89.99914551,156.700531,-3888000000.0,279.3,185.2,54.0,24.3,17.1,0.482841667,-7.31,6,10,1
33.8778,74.3333,2711.0,89.99872589,327.2647705,0.0,122.6,65.5,9.3,4.4,-6.3,0.378966667,1.12,2,6,1
30.7666,78.7963,3841.0,89.99916077,4.92061615,-2592000000.0,67.7,66.8,60.3,14.1,2.8,0.408866667,4.38,1,7,1
