event_id,latitude,longitude,event_date,event_year,event_month,event_day_of_week,event_hour,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,total_casualties,severity_class,country_name,admin_division_population,gazeteer_distance,slope,aspect,curvature
1067,28.8378,81.708,07/31/2009 12:00:00 AM,,,,,landslide,monsoon,medium,unknown,1,0,1,low,Nepal,20908,0.75395,89.99727631,315,5184000000
1055,26.8826,88.2788,07/22/2009 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,46427,0.15035,89.99828339,266.9059448,-1296000000
1054,26.8572,88.3143,07/22/2009 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,46427,4.62496,89.99815369,19.48612976,-3888000000
1048,28.2039,83.9806,07-02-2009 03:00,,,,,landslide,monsoon,medium,unknown,3,0,3,low,Nepal,200000,7.08117,89.95973969,288.4349365,-1296000000
1049,27.9447,84.2279,07-02-2009 00:00,,,,,landslide,monsoon,medium,unknown,2,0,2,low,Nepal,0,32.28507,89.99945068,258.4951782,16848000000
1061,27.478,88.527,07-01-2009 05:40,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,1464,3.541,89.99890137,194.9950867,-41472000000
1062,28,85.71,07/27/2009 12:00:00 AM,,,,,landslide,monsoon,large,unknown,13,0,13,high,Nepal,1600,24.0447,,,
1065,28.1046,83.8791,07/31/2009 12:00:00 AM,,,,,landslide,monsoon,medium,unknown,5,0,5,low,Nepal,21867,17.40134,89.99845886,292.8336487,2592000000
2164,25.3098633,94.48214677,07/29/2010 11:00:00 PM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,15118,39.51186,89.99907684,156.0375061,14256000000
2216,36.6567,74.8609,08-06-2010 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,Pakistan,2005,41.15433,89.99757385,252.2553253,1296000000
3821,29.7334,79.6367,07/21/2011 12:00:00 AM,,,,,landslide,rain,medium,unknown,1,0,1,low,India,32442,15.271,89.99914551,156.700531,-3888000000
37,33.8778,74.3333,03/19/2007 12:00:00 AM,,,,,landslide,rain,medium,unknown,2,0,2,low,India,14711,18.10887,89.99872589,327.2647705,0
3669,30.7666,78.7963,06/29/2011 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,17123,34.03469,89.99916077,4.92061615,-2592000000
3712,27.7394,83.5754,07-03-2011 00:00,,,,,landslide,downpour,medium,unknown,2,0,2,low,Nepal,91733,13.24717,89.99905396,219.5881348,0
