latitude,longitude,event_date,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days
28.8378,81.708,07/31/2009 12:00:00 AM,185.3,152.8,109.8,26.3,18,0.418125,0.05,2,10
26.8826,88.2788,07/22/2009 12:00:00 AM,206.8,154.9,66.2,25.7,18.8,0.413208333,4.34,3,10
26.8572,88.3143,07/22/2009 12:00:00 AM,75.3,55.2,19.6,27.3,20.4,0.413483333,1.85,0,10
28.2039,83.9806,07-02-2009 03:00,324.6,322.2,92.6,28.3,20.9,0.427083333,-21.79,6,9
27.9447,84.2279,07-02-2009 00:00,215.4,208.3,88.6,32.3,21.5,0.421575,-2.34,4,9
27.478,88.527,07-01-2009 05:40,388.3,358,247.9,35.6,23,0.426441667,3.05,5,10
28,85.71,07/27/2009 12:00:00 AM,165.3,119.9,75.5,17.7,11.8,0.419866667,8.89,3,10
28.1046,83.8791,07/31/2009 12:00:00 AM,484.3,442.5,56.2,28.7,19.7,0.426075,-37.92,5,10
25.3098633,94.48214677,07/29/2010 11:00:00 PM,138.2,109.2,31.8,26,18,0.456,-0.63,3,10
36.6567,74.8609,08-06-2010 00:00,48.5,17.6,2.2,19,-2.4,0.292166667,0.36,0,4
29.7334,79.6367,07/21/2011 12:00:00 AM,279.3,185.2,54,24.3,17.1,0.482841667,-7.31,6,10
33.8778,74.3333,03/19/2007 12:00:00 AM,122.6,65.5,9.3,4.4,-6.3,0.378966667,1.12,2,6
30.7666,78.7963,06/29/2011 12:00:00 AM,67.7,66.8,60.3,14.1,2.8,0.408866667,4.38,1,7
27.7394,83.5754,07-03-2011 00:00,436.6,390.7,248,27.8,20.5,0.4278,-5.17,6,10
28.3683,83.2934,07-03-2011 00:00,264.5,200.9,95.2,18.3,10.6,0.426175,-3.19,5,10
28.0889,83.2934,07-03-2011 00:00,444,414,250.3,26.7,19.4,0.4269,-5.96,4,10
30.7652,78.5925,07-09-2011 00:00,122.8,97.7,58.9,26.8,17,0.469433333,-0.12,2,10
30.7331,79.0685,07-09-2011 00:00,124.6,89.4,64.9,14.4,4.4,0.482258333,5.57,1,10
31.0188,78.4129,07-09-2011 00:00,124.6,89.4,64.9,16.7,5.9,0.403083333,5.57,1,10
30.4043,79.3318,07/21/2011 12:00:00 AM,113.3,84.5,40.9,27.3,20.5,0.485733333,1.89,1,10
