latitude,longitude,event_date,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days
33.646176,77.025745,2014-09-25 00:00:00,0.4,0.4,0.2,17.5,-2.4,0.11045833333333333,-0.010000000000000009,0,1
32.347432,81.614974,2010-07-30 00:00:00,45.0,36.8,8.4,15.9,-0.4,0.29564166666666664,-3.6,0,10
24.176322,81.015618,2016-02-19 00:00:00,4.9,4.9,2.4,31.7,12.1,0.28722500000000006,-0.25,0,2
31.203601,86.929602,2016-12-16 00:00:00,0.0,0.0,0.0,0.0,-12.9,0.3161333333333328,0.0,0,0
31.692712,92.52712,2014-05-18 00:00:00,11.100000000000001,5.8,2.9,7.8,-9.9,0.39543333333333325,0.030000000000000072,0,5
29.461204,83.123586,2017-01-12 00:00:00,4.6,4.0,0.0,-3.4,-25.1,0.3030999999999995,-0.02,0,3
30.828146,85.043433,2013-07-12 00:00:00,55.0,42.99999999999999,10.3,16.7,0.4,0.3507666666666667,0.25,0,10
6.235627,80.205859,2016-12-11 00:00:00,32.9,30.9,19.799999999999997,29.3,22.5,0.4339166666666668,0.6200000000000011,0,7
30.398189,67.684696,2014-01-23 00:00:00,1.8,1.8,0.7,6.3,-6.1,0.06699999999999999,0.010000000000000004,0,2
36.90797,77.681703,2008-01-23 00:00:00,1.8,1.8,0.0,-8.0,-26.3,0.18700000000000017,0.0,0,2
28.25354,90.911551,2013-09-04 00:00:00,149.8,127.4,69.5,13.1,4.5,0.4226833333333329,1.5799999999999954,4,10
29.851232,91.180648,2007-02-14 00:00:00,2.9000000000000004,2.3,2.3,-1.9,-20.6,0.3315583333333334,0.010000000000000004,0,2
34.64094,73.755592,2017-02-12 00:00:00,67.69999999999999,13.1,0.1,1.1,-11.7,0.26729999999999965,-0.02,1,4
35.209681,66.126224,2017-07-05 00:00:00,0.2,0.2,0.2,21.2,4.8,0.12992499999999998,0.04,0,1
32.979583,84.959814,2007-12-26 00:00:00,0.0,0.0,0.0,-1.1,-21.3,0.10800000000000012,0.0,0,0
34.739668,63.873772,2011-03-28 00:00:00,20.799999999999997,20.799999999999997,20.7,17.7,-6.1,0.3591833333333333,3.0099999999999993,0,3
27.04216,60.232225,2009-02-02 00:00:00,17.2,0.0,0.0,24.8,5.1,0.08663333333333333,0.0,0,2
36.924053,92.144929,2014-06-18 00:00:00,5.8999999999999995,3.9000000000000004,0.8,16.0,-0.9,0.05217499999999996,0.01,0,3
25.880036,70.779553,2017-06-01 00:00:00,0.0,0.0,0.0,43.4,25.7,0.02377499999999998,0.0,0,0
29.951086,86.237291,2017-04-20 00:00:00,0.5,0.4,0.4,4.4,-19.2,0.07564166666666669,0.010000000000000004,0,1
38.185433,73.216497,2009-08-10 00:00:00,3.8,1.8,1.8,3.1,-11.8,0.1685249999999998,0.1,0,3
33.556014,68.99424,2012-03-14 00:00:00,20.4,18.7,14.600000000000001,2.8,-14.3,0.21546666666666636,0.010000000000000004,0,3
36.140576,64.321502,2008-12-09 00:00:00,3.0,2.7,2.1,18.0,-1.9,0.16502500000000003,0.11,0,2
30.007048,70.32062,2008-11-20 00:00:00,0.0,0.0,0.0,28.8,11.1,0.02000000000000001,0.0,0,0
29.120946,85.558835,2013-10-03 00:00:00,16.8,12.700000000000001,6.8,9.3,-4.3,0.1376833333333333,0.21,0,6
26.156159,63.563619,2008-08-13 00:00:00,9.799999999999999,0.1,0.0,40.8,21.6,0.02687499999999995,0.0,0,3
35.390004,62.93296,2013-01-17 00:00:00,29.000000000000004,24.3,0.3,21.2,-7.6,0.37557499999999994,0.0,0,5
38.83337,75.50735,2007-04-15 00:00:00,0.0,0.0,0.0,23.0,-3.5,0.10464166666666672,0.0,0,0
34.72757,89.647611,2017-06-17 00:00:00,37.6,30.1,25.1,2.4,-17.7,0.4251416666666665,-0.03,0,10
37.768024,71.451315,2016-07-12 00:00:00,28.000000000000004,27.2,5.9,12.0,-0.7,0.373725,-0.44,0,8
27.945094,83.421934,2017-08-20 00:00:00,348.7,250.20000000000002,15.9,29.3,22.2,0.41479999999999984,-0.02,4,10
5.97793,80.663143,2010-10-17 00:00:00,28.3,8.6,0.1,29.4,24.3,0.4290083333333331,-0.68,0,6
30.508645,82.611622,2008-06-09 00:00:00,13.899999999999999,6.6,3.3,10.8,-7.4,0.15242500000000006,0.04,0,9
34.526927,65.183701,2014-04-03 00:00:00,5.8999999999999995,5.8999999999999995,4.8,8.8,-12.9,0.40525000000000017,0.08000000000000028,0,4
29.149208,97.902592,2011-11-04 00:00:00,5.8,4.800000000000001,1.3,6.1,-10.6,0.2523166666666666,0.0,0,7
28.622929,97.715672,2007-12-24 00:00:00,0.0,0.0,0.0,-5.9,-22.6,0.35084166666666644,0.0,0,0
25.856729,62.481216,2016-02-12 00:00:00,0.0,0.0,0.0,28.6,8.3,0.007316666666666672,0.0,0,0
19.451124,97.59203,2017-07-02 00:00:00,60.89999999999999,46.4,20.5,31.9,22.7,0.49308333333333365,-0.049999999999998865,0,10
37.112067,67.989415,2008-08-23 00:00:00,0.0,0.0,0.0,35.4,19.1,0.09200000000000004,0.0,0,0
35.074715,68.08636,2015-11-18 00:00:00,18.700000000000003,12.8,0.0,1.8,-24.6,0.2731833333333332,0.0,0,3
15.609531,74.125957,2010-02-10 00:00:00,0.0,0.0,0.0,34.6,18.1,0.18400833333333325,0.0,0,0
35.14708,92.176099,2013-03-17 00:00:00,0.3,0.3,0.3,2.5,-16.3,0.35143333333333343,0.0,0,1
12.364076,75.397399,2007-02-28 00:00:00,2.6,0.1,0.1,32.9,17.4,0.2875000000000003,0.0,0,2
27.419559,87.51958,2017-04-28 00:00:00,73.6,44.70000000000001,7.2,20.6,10.1,0.4049833333333336,-3.77,1,10
28.637455,61.026209,2017-01-23 00:00:00,25.5,25.0,23.9,5.5,-7.4,0.128475,1.26,0,4
9.796995,76.740989,2015-12-14 00:00:00,147.3,111.6,58.8,31.3,21.0,0.46634166666666665,4.6999999999999975,2,10
36.193411,85.539785,2017-03-03 00:00:00,2.7,1.4000000000000001,1.0,-9.1,-31.7,0.2600000000000007,0.0,0,2
31.063165,87.413,2016-10-19 00:00:00,1.5,0.1,0.1,9.4,-5.7,0.2752249999999999,0.02,0,1
36.392569,88.876133,2014-01-30 00:00:00,0.0,0.0,0.0,-7.6,-35.8,0.2929999999999995,0.0,0,0
5.051821,96.238588,2016-04-06 00:00:00,89.5,78.8,31.8,28.6,19.8,0.4192749999999999,-0.9,0,10
30.124731,92.906774,2008-06-18 00:00:00,31.299999999999997,20.3,9.600000000000001,13.9,-4.6,0.39425833333333365,-0.45,0,5
24.097739,87.187766,2008-04-16 00:00:00,6.8,1.8,1.8,39.8,18.6,0.19631666666666694,0.20000000000000007,0,2
28.910683,97.819273,2009-08-17 00:00:00,67.60000000000001,53.2,20.2,12.7,1.6,0.38176666666666664,-1.710000000000001,0,10
26.8071,62.337831,2016-01-27 00:00:00,0.0,0.0,0.0,21.6,-0.9,0.008075000000000006,0.0,0,0
34.453819,79.364182,2016-03-25 00:00:00,11.0,6.9,0.0,-7.1,-31.7,0.06899999999999999,0.0,0,4
16.904861,73.964633,2010-10-09 00:00:00,44.099999999999994,40.9,11.200000000000001,30.5,19.8,0.4679583333333333,-2.540000000000001,0,5
37.13761,95.857574,2008-12-02 00:00:00,0.0,0.0,0.0,-0.3,-19.0,0.023124999999999993,0.0,0,0
37.16622,77.958043,2007-05-09 00:00:00,0.7,0.7,0.7,25.4,7.1,0.016933333333333325,0.14,0,1
19.362661,81.133273,2015-11-28 00:00:00,0.0,0.0,0.0,29.6,17.0,0.14483333333333331,0.0,0,0
34.340797,97.288607,2008-03-21 00:00:00,3.9,3.9,3.6,-5.7,-24.8,0.25600000000000017,0.0,0,3
36.733136,91.034393,2015-12-18 00:00:00,2.5,1.9,0.0,-6.2,-31.0,0.309,0.0,0,2
31.594245,68.822555,2012-03-14 00:00:00,5.1,5.1,4.6,16.6,-6.4,0.12632500000000002,0.13,0,3
32.982577,77.425022,2008-11-26 00:00:00,3.9,3.2,0.0,-4.5,-23.8,0.08472500000000013,0.0,0,3
21.758805,77.452335,2013-02-17 00:00:00,21.6,20.200000000000003,14.2,30.2,12.5,0.240775,0.1,0,3
24.226651,94.045708,2016-11-30 00:00:00,0.8,0.8,0.8,18.1,6.4,0.38522499999999993,0.14,0,2
29.3416,63.570202,2016-03-11 00:00:00,62.1,32.0,29.1,21.0,5.8,0.13095,3.01,0,4
21.926514,86.427203,2014-01-28 00:00:00,0.0,0.0,0.0,23.8,10.4,0.16074999999999975,0.0,0,0
27.441205,85.652678,2013-06-01 00:00:00,185.70000000000002,149.50000000000003,113.8,26.0,16.7,0.4187249999999999,9.35,3,10
30.765436,91.728232,2016-10-21 00:00:00,30.200000000000003,6.5,4.0,2.8,-19.0,0.383541666666667,-0.02,0,3
31.8503,78.095309,2015-09-20 00:00:00,11.1,11.1,11.1,3.6,-15.6,0.10409166666666668,0.02,0,1
