latitude,longitude,event_date,elevation,slope
33.646176,77.025745,25-09-2014 00:00,3651,49.84
32.347432,81.614974,30-07-2010 00:00,5195,27.8
24.176322,81.015618,19-02-2016 00:00,361,8.4
31.203601,86.929602,16-12-2016 00:00,5374,9.88
31.692712,92.52712,18-05-2014 00:00,4801,5.5
29.461204,83.123586,12-01-2017 00:00,4343,33.93
30.828146,85.043433,12-07-2013 00:00,5028,17.53
6.235627,80.205859,11-12-2016 00:00,22,13.32
30.398189,67.684696,23-01-2014 00:00,2639,5.34
36.90797,77.681703,23-01-2008 00:00,3461,17.9
28.25354,90.911551,04-09-2013 00:00,4071,40.15
29.851232,91.180648,14-02-2007 00:00,4366,26.76
34.64094,73.755592,12-02-2017 00:00,2696,29.89
35.209681,66.126224,05-07-2017 00:00,2879,41.72
32.979583,84.959814,26-12-2007 00:00,4788,5.82
34.739668,63.873772,28-03-2011 00:00,1912,7.42
27.04216,60.232225,02-02-2009 00:00,602,5.47
36.924053,92.144929,18-06-2014 00:00,3939,30.44
25.880036,70.779553,01-06-2017 00:00,195,5.61
29.951086,86.237291,20-04-2017 00:00,5602,15.33
38.185433,73.216497,10-08-2009 00:00,5519,37.2
33.556014,68.99424,14-03-2012 00:00,2442,18.97
36.140576,64.321502,09-12-2008 00:00,723,26.18
30.007048,70.32062,20-11-2008 00:00,311,8.09
29.120946,85.558835,03-10-2013 00:00,5047,11.73
26.156159,63.563619,13-08-2008 00:00,858,15.58
35.390004,62.93296,17-01-2013 00:00,644,22.67
38.83337,75.50735,15-04-2007 00:00,2215,7.7
34.72757,89.647611,17-06-2017 00:00,5069,5.2
37.768024,71.451315,12-07-2016 00:00,3857,42.79
27.945094,83.421934,20-08-2017 00:00,701,44.43
5.97793,80.663143,17-10-2010 00:00,22,5.36
30.508645,82.611622,09-06-2008 00:00,4856,5.66
34.526927,65.183701,03-04-2014 00:00,2353,14.7
29.149208,97.902592,04-11-2011 00:00,4184,29.75
28.622929,97.715672,24-12-2007 00:00,4602,8.98
25.856729,62.481216,12-02-2016 00:00,48,7.05
19.451124,97.59203,02-07-2017 00:00,444,22.99
37.112067,67.989415,23-08-2008 00:00,840,27.15
35.074715,68.08636,18-11-2015 00:00,3219,20.45
15.609531,74.125957,10-02-2010 00:00,169,9.06
35.14708,92.176099,17-03-2013 00:00,4708,7.5
12.364076,75.397399,28-02-2007 00:00,621,9.92
27.419559,87.51958,28-04-2017 00:00,1868,42.6
28.637455,61.026209,23-01-2017 00:00,2765,17.49
9.796995,76.740989,14-12-2015 00:00,225,15.75
36.193411,85.539785,03-03-2017 00:00,5198,18.19
31.063165,87.413,19-10-2016 00:00,4854,7.84
36.392569,88.876133,30-01-2014 00:00,5042,5.65
5.051821,96.238588,06-04-2016 00:00,951,27.85
30.124731,92.906774,18-06-2008 00:00,4737,29.64
24.097739,87.187766,16-04-2008 00:00,171,9.49
28.910683,97.819273,17-08-2009 00:00,4691,15.91
26.8071,62.337831,27-01-2016 00:00,1333,12.89
34.453819,79.364182,25-03-2016 00:00,5657,6.74
16.904861,73.964633,09-10-2010 00:00,607,15.33
37.13761,95.857574,02-12-2008 00:00,3182,9.28
37.16622,77.958043,09-05-2007 00:00,2337,19.21
19.362661,81.133273,28-11-2015 00:00,659,16.23
34.340797,97.288607,21-03-2008 00:00,4629,8.86
36.733136,91.034393,18-12-2015 00:00,4629,24.63
31.594245,68.822555,14-03-2012 00:00,1907,23.5
32.982577,77.425022,26-11-2008 00:00,4562,9.88
21.758805,77.452335,17-02-2013 00:00,497,5.26
24.226651,94.045708,30-11-2016 00:00,1653,21.58
29.3416,63.570202,11-03-2016 00:00,1519,26.66
21.926514,86.427203,28-01-2014 00:00,865,14.21
27.441205,85.652678,01-06-2013 00:00,1655,28.91
30.765436,91.728232,21-10-2016 00:00,5341,18.04
31.8503,78.095309,20-09-2015 00:00,5296,36.67
38.679427,69.184336,21-04-2009 00:00,1483,38.52
37.816804,75.546074,26-12-2013 00:00,2821,5.38
27.65318,86.39759,12-04-2008 00:00,3031,42.69
21.677938,80.525706,10-11-2008 00:00,707,6.29
36.840185,78.641988,12-08-2015 00:00,3741,34.56
35.768622,93.388149,08-12-2016 00:00,5181,29.09
12.242257,77.320885,06-03-2012 00:00,617,5.29
35.918396,93.978053,29-10-2008 00:00,4057,7.73
19.269543,97.357513,25-04-2017 00:00,644,9.05
35.975334,78.708736,06-03-2009 00:00,5298,20.28
27.149394,89.715373,24-06-2007 00:00,2386,15.76
11.474942,78.298493,24-11-2015 00:00,289,6.24
37.980587,69.21707,14-03-2012 00:00,831,9.82
33.181187,80.573697,08-11-2012 00:00,4626,17.66
35.980421,60.335671,06-03-2012 00:00,899,9.18
20.357534,85.059783,10-12-2010 00:00,175,12.19
24.213103,92.652715,16-10-2013 00:00,112,18.51
34.440008,79.314868,16-06-2010 00:00,5720,20.81
38.226701,67.208533,30-05-2010 00:00,1459,18.47
18.25406,96.285168,27-01-2011 00:00,298,15.55
29.211297,92.217552,15-09-2011 00:00,4598,18.18
32.172657,88.911896,01-04-2016 00:00,4910,13.18
30.272089,91.626149,22-11-2013 00:00,5141,20.87
34.910504,70.160341,10-06-2016 00:00,1555,18.72
30.93556,83.034066,13-10-2013 00:00,5800,13.57
36.708019,89.275556,01-06-2008 00:00,4912,30.68
31.271806,63.665009,25-04-2017 00:00,786,5.75
34.272593,67.329307,02-03-2008 00:00,2985,29.79
28.398991,83.266946,09-02-2009 00:00,2614,34.11
34.520279,72.92081,09-08-2008 00:00,2595,34.6
30.834168,93.281543,04-01-2016 00:00,4991,18.73
33.764049,88.412958,18-12-2007 00:00,5204,18.03
6.858982,80.230738,03-05-2012 00:00,208,28.32
28.784191,94.793458,06-10-2008 00:00,1237,29.55
35.964084,73.853918,12-01-2015 00:00,3608,28.71
36.140757,79.422211,15-01-2017 00:00,5451,8.58
33.190029,66.437308,09-09-2016 00:00,2656,34.92
31.085951,89.859504,23-11-2010 00:00,4831,22.44
36.021533,71.52438,16-10-2009 00:00,3951,14.83
33.71849,66.977468,21-06-2017 00:00,2514,27.27
36.685625,75.241559,29-09-2009 00:00,4438,17.64
34.588321,79.590111,22-03-2012 00:00,5502,12.18
33.176624,64.058966,13-10-2011 00:00,1769,12.15
29.421486,95.562285,13-11-2007 00:00,3261,44.3
30.400435,86.405896,13-04-2017 00:00,5306,19.4
27.980469,88.997939,10-02-2009 00:00,5076,31.01
29.368072,86.347227,12-08-2010 00:00,5503,17.94
29.669567,93.616576,09-06-2011 00:00,4457,34.86
31.882399,83.805138,30-07-2012 00:00,4965,11.88
36.179338,67.903503,19-02-2016 00:00,1468,19.14
25.368882,88.071,12-11-2007 00:00,28,5.91
32.69958,90.405353,04-01-2012 00:00,5088,13.72
38.894443,92.448056,29-04-2009 00:00,3062,5.61
30.79798,94.600294,25-06-2011 00:00,5007,30.72
28.702431,90.623305,11-07-2010 00:00,5125,14.31
34.885745,64.435085,09-06-2014 00:00,2408,12.07
25.737465,70.685899,27-10-2013 00:00,161,5.49
36.026376,94.137732,18-06-2017 00:00,5025,27.05
35.185306,69.374044,14-08-2011 00:00,2355,22.25
4.239387,96.495173,28-05-2014 00:00,256,33.22
30.029906,79.599836,27-03-2008 00:00,1842,27.51
37.429962,73.088474,17-01-2017 00:00,4349,18.54
37.065898,75.381709,26-06-2008 00:00,4523,30.99
25.902825,67.357281,01-11-2012 00:00,282,5.22
37.679284,75.440351,20-07-2008 00:00,4349,16.98
30.469418,86.522227,26-06-2014 00:00,5645,13.49
26.531874,63.500628,05-06-2009 00:00,1020,25.73
3.165013,97.445846,01-01-2016 00:00,660,20.23
29.065861,91.029257,15-12-2008 00:00,5260,23.93
28.506065,60.91149,22-03-2007 00:00,1818,8.67
28.625019,81.731402,19-01-2009 00:00,1523,21.88
22.409155,84.583261,06-04-2016 00:00,272,8.79
31.70041,78.914377,06-12-2011 00:00,3514,39.78
28.459157,91.186022,14-06-2012 00:00,4980,24.64
35.135489,72.519588,06-12-2011 00:00,1473,22.81
38.511876,85.595456,26-06-2016 00:00,1153,8.46
35.871979,63.443585,06-05-2013 00:00,535,27.89
19.168717,96.950344,08-06-2016 00:00,946,9.06
29.17193,92.952958,16-02-2008 00:00,5185,24.01
17.529075,81.319853,26-09-2014 00:00,232,31.82
23.33081,94.493688,02-12-2011 00:00,231,6.4
37.038882,82.344193,16-11-2013 00:00,1449,9.41
3.107413,97.745832,08-07-2011 00:00,347,14.65
35.512515,85.791389,19-04-2010 00:00,5132,8.56
38.37986,75.0118,26-07-2011 00:00,3685,5.48
34.435651,81.529985,16-05-2009 00:00,5585,20.29
22.816562,92.085265,20-04-2014 00:00,46,5.77
24.155561,93.545961,13-05-2007 00:00,689,19.12
35.301178,68.938663,23-11-2010 00:00,3808,5.54
33.055395,86.582019,07-07-2007 00:00,5792,7.51
28.667834,64.045891,22-11-2009 00:00,850,6.7
32.297598,85.525677,18-01-2012 00:00,4977,13.99
25.445408,95.387273,30-09-2015 00:00,154,9.25
26.00163,67.091201,14-06-2015 00:00,359,6.66
27.332654,86.76913,16-09-2016 00:00,956,42.84
23.571449,94.066498,07-12-2012 00:00,394,16.25
18.118041,96.142834,25-02-2012 00:00,191,9.92
26.457646,94.724498,09-03-2010 00:00,525,20.6
34.818615,65.258832,06-05-2012 00:00,2547,9.56
36.066425,71.34975,28-05-2007 00:00,3416,32.83
32.315663,78.586844,19-04-2015 00:00,4942,24.05
25.610936,95.048882,03-08-2011 00:00,2058,47.7
29.903322,96.291934,23-11-2015 00:00,5224,18.37
28.629285,65.003104,13-10-2014 00:00,985,9.59
25.696544,66.370214,09-10-2008 00:00,8,5.13
29.593372,92.685272,11-10-2011 00:00,5298,39.44
20.89677,93.432003,14-02-2017 00:00,489,23.36
34.517682,96.8277,21-11-2011 00:00,4770,11.61
31.754858,89.816525,01-07-2011 00:00,4718,10.92
27.716374,65.810085,17-01-2011 00:00,1725,8.67
25.005965,92.781145,31-01-2014 00:00,578,5.27
27.885719,61.385839,31-01-2014 00:00,1606,10.02
31.517109,77.912103,17-11-2010 00:00,2650,56.59
19.663877,95.912039,16-05-2009 00:00,176,9.92
26.958388,93.388137,02-07-2016 00:00,227,15.28
38.661943,89.369585,28-06-2014 00:00,3354,11.82
33.542826,67.619762,16-10-2010 00:00,3680,16.75
25.195944,92.736206,06-03-2014 00:00,1206,8.87
29.102511,96.609815,09-10-2013 00:00,3922,42.18
26.660307,80.363622,15-10-2013 00:00,120,6.34
34.534768,66.273847,11-10-2015 00:00,3102,6.92
27.186637,89.415032,12-04-2011 00:00,3064,18.92
33.348683,77.149262,13-06-2014 00:00,4926,23.98
17.934232,78.510491,26-10-2008 00:00,538,6.41
19.680609,83.000159,02-01-2013 00:00,561,15.2
24.164972,74.158424,11-07-2011 00:00,402,7.27
31.474003,86.341432,16-06-2017 00:00,5666,8.54
23.660376,94.819885,26-03-2014 00:00,372,12.08
36.111217,97.71,17-02-2013 00:00,2969,5.39
22.90355,92.859943,23-03-2013 00:00,558,15.26
33.906468,64.337531,28-07-2014 00:00,2579,8.89
28.661571,97.432691,29-09-2014 00:00,3441,22.85
24.891761,92.717914,26-10-2007 00:00,19,5.5
33.927377,71.281107,02-12-2014 00:00,882,6.92
32.679682,92.677749,20-02-2016 00:00,5338,18.22
25.435054,79.536571,27-10-2012 00:00,175,7.21
30.683254,88.283165,04-03-2017 00:00,5253,20.09
24.030705,73.796152,21-10-2012 00:00,362,24.8
32.941678,82.260468,28-07-2009 00:00,4893,10.33
35.635244,66.328785,13-10-2012 00:00,3349,32.18
28.596028,64.957844,09-11-2010 00:00,1191,24.49
36.780088,77.473056,21-09-2012 00:00,4391,32.63
11.788713,92.715936,29-02-2008 00:00,50,9.84
27.741364,87.550559,24-09-2011 00:00,4702,30.38
34.465883,76.973966,11-07-2010 00:00,5527,30.21
31.608847,73.892852,10-02-2009 00:00,205,5.61
23.493198,92.238394,07-04-2017 00:00,254,26.28
22.385382,86.556163,07-07-2010 00:00,182,7.44
31.096249,77.859,28-01-2014 00:00,3093,17.92
36.786216,76.650876,08-07-2014 00:00,5179,6.72
30.248962,95.097805,18-02-2016 00:00,3246,31.87
33.873145,83.403148,20-07-2015 00:00,4997,9.27
7.836033,80.344643,11-01-2010 00:00,154,14.37
23.27751,96.161251,12-11-2014 00:00,392,21.31
33.14855,67.418297,30-03-2011 00:00,2659,7.84
19.983271,95.721614,13-07-2007 00:00,339,13.04
30.857584,77.37423,24-02-2016 00:00,2123,41.82
28.542218,93.375216,14-08-2017 00:00,4383,10.84
30.154359,94.959941,08-10-2016 00:00,2773,25.95
35.183688,97.422352,09-06-2016 00:00,4642,13.25
36.118003,95.751071,26-07-2013 00:00,4271,13.5
29.52845,66.678043,05-05-2015 00:00,1935,21.78
27.604025,71.342387,21-12-2009 00:00,128,5.07
31.359244,80.667881,15-02-2017 00:00,5682,16.64
33.834903,73.457927,18-09-2015 00:00,1672,20.15
26.616033,66.043302,14-04-2008 00:00,820,13.08
35.299665,75.525577,02-06-2016 00:00,2383,6.92
32.642249,75.704126,29-06-2007 00:00,1709,21.19
35.398802,73.899529,27-09-2015 00:00,2626,28.4
36.209781,95.978355,17-05-2008 00:00,4239,31.93
32.217457,60.696935,28-08-2008 00:00,1006,9.27
36.761462,93.308301,11-12-2011 00:00,2995,6.4
38.694474,68.157567,25-07-2012 00:00,2164,16.02
34.15228,92.180035,30-07-2010 00:00,4762,9.51
20.361188,97.524086,06-08-2016 00:00,1264,7.31
34.333566,62.960779,20-06-2014 00:00,1775,37.52
25.365395,94.952621,03-04-2016 00:00,1509,14.79
37.104514,73.030866,19-10-2013 00:00,4737,14.35
29.025265,92.08664,30-06-2009 00:00,4588,45.33
21.580099,96.654769,14-09-2008 00:00,491,10.71
38.338817,73.330735,12-08-2009 00:00,3933,34.27
26.288416,72.377182,12-02-2009 00:00,228,5.64
26.945615,67.002989,29-03-2007 00:00,891,13.72
38.057727,88.250289,16-12-2016 00:00,4064,12.45
27.998389,85.770693,08-09-2015 00:00,3216,14.95
36.533514,83.246403,22-04-2015 00:00,4131,35
34.919581,63.289422,08-04-2015 00:00,1165,8.45
35.89189,63.265551,24-09-2014 00:00,605,22.23
38.499029,74.164939,23-02-2008 00:00,3881,5.02
32.175783,81.256707,23-08-2009 00:00,4610,7.78
33.982401,75.601197,03-11-2007 00:00,4509,27.45
38.370347,79.100754,03-11-2008 00:00,1218,8.58
29.948549,93.983372,17-08-2012 00:00,4912,31.47
32.857722,75.316828,14-12-2010 00:00,985,24.19
35.177696,65.660822,13-04-2013 00:00,3222,10.92
31.89956,64.966582,07-07-2016 00:00,1397,33.53
35.23412,77.675105,16-01-2014 00:00,5796,45.27
34.908001,70.758773,20-02-2007 00:00,1810,32.58
27.744538,84.812722,08-10-2009 00:00,533,11.12
34.550664,92.784949,24-01-2008 00:00,4821,14.05
35.231855,65.140379,15-05-2010 00:00,3053,15.41
33.737678,78.506613,05-04-2016 00:00,6161,10.22
15.121029,76.452177,11-05-2009 00:00,634,5.54
23.335021,92.764535,17-12-2008 00:00,487,39.75
31.358193,88.511887,11-05-2010 00:00,4971,5.2
11.525087,77.832917,30-03-2011 00:00,379,26.94
37.14212,85.649721,09-02-2010 00:00,4996,35.89
35.520679,61.519162,01-08-2012 00:00,710,13.09
