latitude,longitude,event_date,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days
28.8378,81.708,07/31/2009 12:00:00 AM,185.3,152.8,109.80000000000001,26.3,18.0,0.41812499999999997,0.04999999999999545,2,10
26.8826,88.2788,07/22/2009 12:00:00 AM,206.8,154.9,66.2,25.7,18.8,0.4132083333333333,4.340000000000004,3,10
26.8572,88.3143,07/22/2009 12:00:00 AM,75.3,55.2,19.6,27.3,20.4,0.4134833333333334,1.85,0,10
28.2039,83.9806,07/02/2009 03:00:00 AM,324.6,322.20000000000005,92.6,28.3,20.9,0.42708333333333326,-21.79,6,9
27.9447,84.2279,07/02/2009 12:00:00 AM,215.39999999999998,208.3,88.6,32.3,21.5,0.421575,-2.34,4,9
27.478,88.527,07/01/2009 05:40:00 AM,388.3,358.00000000000006,247.9,35.6,23.0,0.42644166666666633,3.05,5,10
28.0,85.71,07/27/2009 12:00:00 AM,165.3,119.9,75.5,17.7,11.8,0.41986666666666667,8.89,3,10
28.1046,83.8791,07/31/2009 12:00:00 AM,484.29999999999995,442.49999999999994,56.2,28.7,19.7,0.4260749999999995,-37.92000000000001,5,10
25.3098633,94.48214677,07/29/2010 11:00:00 PM,138.20000000000002,109.2,31.8,26.0,18.0,0.45599999999999985,-0.63,3,10
36.6567,74.8609,08/06/2010 12:00:00 AM,48.49999999999999,17.599999999999998,2.2,19.0,-2.4,0.2921666666666668,0.36,0,4
29.7334,79.6367,07/21/2011 12:00:00 AM,279.3,185.20000000000002,54.0,24.3,17.1,0.48284166666666695,-7.31,6,10
33.8778,74.3333,03/19/2007 12:00:00 AM,122.59999999999998,65.5,9.3,4.4,-6.3,0.37896666666666673,1.1200000000000006,2,6
30.7666,78.7963,06/29/2011 12:00:00 AM,67.7,66.80000000000001,60.300000000000004,14.1,2.8,0.4088666666666665,4.380000000000003,1,7
27.7394,83.5754,07/03/2011 12:00:00 AM,436.59999999999997,390.69999999999993,248.0,27.8,20.5,0.42779999999999974,-5.170000000000009,6,10
28.3683,83.2934,07/03/2011 12:00:00 AM,264.50000000000006,200.9,95.19999999999999,18.3,10.6,0.4261749999999998,-3.19,5,10
28.0889,83.2934,07/03/2011 12:00:00 AM,444.0,414.0,250.3,26.7,19.4,0.4268999999999998,-5.96,4,10
30.7652,78.5925,07/09/2011 12:00:00 AM,122.8,97.69999999999999,58.9,26.8,17.0,0.4694333333333331,-0.11999999999999772,2,10
30.7331,79.0685,07/09/2011 12:00:00 AM,124.60000000000001,89.4,64.9,14.4,4.4,0.4822583333333333,5.57,1,10
31.0188,78.4129,07/09/2011 12:00:00 AM,124.60000000000001,89.4,64.9,16.7,5.9,0.4030833333333332,5.57,1,10
