source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,elevation
Reuters,https://in.reuters.com/article/idINIndia-41450420090731,1067,07/31/2009 12:00:00 AM,,Dailekh district,"One person was killed in Dailekh district, police said.",Dailekh district,unknown,landslide,monsoon,medium,unknown,1.0,,,,,glc,1067.0,Nepal,NP,Mid Western,20908.0,Dailekh,0.75395,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,81.708,28.8378,1395
One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1055,07/22/2009 12:00:00 AM,,"Kerseong, West Bengal ","The disruption of popular toy train services in Darjeeling disappointed the tourists as the rail track was damaged by the landslides in the region. The track has been washed away at Gayabari, Kerseong and Darjeeling due to heavy incessant rainfall and landslides from the hills.","Kerseong, West Bengal ",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,1055.0,India,IN,Bengal,46427.0,Kārsiyāng,0.15035,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2788,26.8826,1545
One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1054,07/22/2009 12:00:00 AM,,"Gayabari,  West Bengal ","The disruption of popular toy train services in Darjeeling disappointed the tourists as the rail track was damaged by the landslides in the region. The track has been washed away at Gayabari, Kerseong and Darjeeling due to heavy incessant rainfall and landslides from the hills.","Gayabari,  West Bengal ",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,1054.0,India,IN,Bengal,46427.0,Kārsiyāng,4.62496,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.3143,26.8572,1079
SAARC Disaster Management Centre,http://saarc-sdmc.nic.in/latest192.asp,1048,07/02/2009 03:00:00 AM,,"Deurali VDC-8 in Kaski district, ","At least six people have died and two more have gone missing in separate land-slide related incidents in various parts of the country caused by incessant rainfall from the past few days.  Three members of a family died when a house was swept away by a mud-slide at Deurali VDC-8, Kaski district. There was a heavy rainfall all day Wednesday in the area, which probably caused the mudslides at 3 am Thursday morning. A huge log had also tumbled along the mudslide, destroying the Gurung family's house on the way. ","Deurali VDC-8 in Kaski district, ",50km,landslide,monsoon,medium,unknown,3.0,,,,,glc,1048.0,Nepal,NP,Western Region,200000.0,Pokhara,7.08117,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,83.9806,28.2039,831
SAARC Disaster Management Centre,http://saarc-sdmc.nic.in/latest192.asp,1049,07/02/2009 12:00:00 AM,,"Dhapade VDC-5, Tanahun district","At least six people have died and two more have gone missing in separate land-slide related incidents in various parts of the country caused by incessant rainfall from the past few days.  Similarly, two people have gone missing after a landslide swept away a house belonging to one Krishna Bahadur Bhujel of Dhapade VDC-5, Tanahun district.  Police said the missing are Bhujel's wife and daughter. Both are feared dead  ","Dhapade VDC-5, Tanahun district",25km,landslide,monsoon,medium,unknown,2.0,,,,,glc,1049.0,Nepal,NP,Western Region,0.0,Lamjung,32.28507,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,84.2279,27.9447,559
Telegraph India,https://www.telegraphindia.com/1090707/jsp/siliguri/story_11202557.jsp,1061,07/01/2009 05:40:00 AM,,Bridge destroyed at 4th Mile,Landslides triggered by heavy rains hit an iron bridge on the North Sikkim Highway over Bar Khola at 4th Mile at around 5:40 am.,"4th Mile, Lower Mangshila in North Sikkim",1km,landslide,downpour,medium,unknown,0.0,,,,"Original source is unknown, but it appears to have given the time.",glc,1061.0,India,IN,,1464.0,Mangan,3.541,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.527,27.478,748
NBC News,http://www.nbcnews.com/id/32186051/ns/us_news-msnbc_wire_services/t/die-nepal-floods-landslides/#.WjqIuVWnEbM,1062,07/27/2009 12:00:00 AM,,Takdoo village (250 km North east of Kathmandu) ,"In the worst incident, at least 13 people were killed in a landslide in Takdoo village early Monday, chief government administrator Talasi Gautam said. He said rescuers were still digging through mud and debris searching for victims. The village, about 125 miles (200 kilometers) northeast of Katmandu, is at least two days’ trek from the district capital, and the continuing rain was making rescue efforts difficult.",Takdoo village (250 km North east of Kathmandu) ,25km,landslide,monsoon,large,unknown,13.0,,,,,glc,1062.0,Nepal,NP,,1600.0,Kodāri,24.0447,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,85.71,28.0,3107
Reuters,https://in.reuters.com/article/idINIndia-41450420090731,1065,07/31/2009 12:00:00 AM,,(Chitrebhanjyang) Syangja districts,"The landslides followed heavy monsoonal rains since Thursday night. The largest death toll was seen in Syangja district, about 200 km west of Kathmandu, where five people died when their homes were smashed by falling mud and rocks, police said. The victims, who included people in their 70s and a five-year-old, were trapped in their homes Friday by debris when the side of a hill collapsed at Chitrebhanjyang, the police said. ",(Chitrebhanjyang) Syangja districts,50km,landslide,monsoon,medium,unknown,5.0,,,,,glc,1065.0,Nepal,NP,Western Region,21867.0,Wāling,17.40134,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,83.8791,28.1046,873
E-Pao,http://www.e-pao.net/GP.asp?src=28..210810.aug10,2164,07/29/2010 11:00:00 PM,,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Since the Chingai-Quingai road has been sunk due to landslides at various points following heavy rainfall that occured twice during the past 20 days, nearly 5,000 villagers of five villages in the sub-division are facing the alarming possibility of starvation.  The road from Chingai to Quingai in Chingai sub-division of Ukhrul district connects Quingai, Chalou, New Tasom, Tasom CV and Tasom Khullen villages.  However, the road has been disconnected in various places due to heavy rainfall that occurred on the night between July 29 and 30 and again on the night of August 15 .  According to Secretary, Information and Publicity, Northern Raphei Students' Union (NRSU), HAS Thuingaleng, nearly 5,000 villagers of the said villages have been facing extreme hardship.  The wooden bridge over Rondei river had been washed away by the powerful current of the river disconnecting the road.  Moreover, landslides have occurred completely blocking the road at different places.  However, due to the heavy","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25km,landslide,downpour,medium,unknown,0.0,,,,,glc,2164.0,India,IN,Manipur,15118.0,Phek,39.51186,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.48214677,25.3098633,1552
Dawn,https://www.dawn.com/news/551761,2216,08/06/2010 12:00:00 AM,,"Gircha and Sarteez(Sartiz) villages, Gojal Tehsil, gilgit-baltistan","GILGIT, Aug 7:   Landslides and flash floods triggered by lightening also hit Gircha and Sarteez villages in Gojal Tehsil on the China border, displacing hundreds of people and destroying a bridge and crops. Uncertain date: 5 - 7","Gircha and Sarteez(Sartiz) villages, Gojal Tehsil, gilgit-baltistan",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,2216.0,Pakistan,PK,Gilgit-Baltistan,2005.0,Barishāl,41.15433,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.8609,36.6567,3168
